tick,agent_id,agent_type,x,y,rank
2,40000081,4,39,30,3
2,40000082,4,34,35,3
2,40000083,4,29,27,3
2,40000084,4,33,20,3
2,40000085,4,32,30,3
2,40000086,4,22,24,3
2,40000087,4,39,27,3
2,40000188,1,21,24,3
2,40000189,1,20,23,3
2,40000190,1,22,23,3
2,40000191,1,20,22,3
2,40000192,1,21,22,3
2,40000193,1,22,22,3
2,40000194,1,22,37,3
2,40000195,1,23,37,3
2,40000196,1,24,37,3
2,40000197,1,22,36,3
2,40000198,1,22,35,3
2,40000199,1,24,35,3
2,40000200,1,30,21,3
2,40000201,1,31,21,3
2,40000202,1,32,21,3
2,40000203,1,30,20,3
2,40000204,1,32,20,3
2,40000208,1,25,29,3
2,40000209,1,26,29,3
2,40000210,1,27,29,3
2,40000211,1,25,28,3
2,40000212,1,27,28,3
2,40000213,1,25,27,3
2,40000214,1,26,27,3
2,40000215,1,28,26,3
2,40000216,1,29,26,3
2,40000217,1,30,26,3
2,40000218,1,28,25,3
2,40000219,1,30,25,3
2,40000220,1,28,24,3
2,40000221,1,30,24,3
2,40000222,1,33,35,3
2,40000223,1,32,34,3
2,40000224,1,34,34,3
2,40000225,1,33,33,3
2,40000226,1,34,33,3
2,40000227,1,22,30,3
2,40000228,1,23,30,3
2,40000229,1,21,29,3
2,40000230,1,23,29,3
2,40000231,1,21,28,3
2,40000232,1,22,28,3
2,40000233,1,23,28,3
2,40000234,1,36,31,3
2,40000235,1,37,31,3
2,40000236,1,38,31,3
2,40000237,1,36,30,3
2,40000238,1,38,30,3
2,40000239,1,36,29,3
2,40000240,1,37,29,3
2,40000241,1,27,34,3
2,40000242,1,28,34,3
2,40000243,1,27,33,3
2,40000244,1,29,33,3
2,40000245,1,27,32,3
2,40000246,1,28,32,3
2,40000247,1,29,32,3
2,40000248,1,22,34,3
2,40000249,1,24,34,3
2,40000250,1,22,33,3
2,40000251,1,23,33,3
2,40000252,1,38,36,3
2,40000253,1,39,36,3
2,40000254,1,38,35,3
2,40000255,1,39,34,3
2,40000256,1,26,33,3
2,40000257,1,25,32,3
2,40000258,1,25,31,3
2,40000259,1,27,31,3
2,40000260,1,32,38,3
2,40000261,1,33,38,3
2,40000262,1,34,38,3
2,40000263,1,34,37,3
2,40000264,1,32,36,3
2,40000265,1,33,36,3
2,40000266,1,34,36,3
2,40000267,1,37,21,3
2,40000268,1,38,21,3
2,40000269,1,37,20,3
2,40000270,1,39,20,3
2,40000274,1,38,39,3
2,40000275,1,39,39,3
2,40000276,1,38,37,3
2,40000277,1,39,37,3
2,40000278,1,21,27,3
2,40000279,1,22,27,3
2,40000280,1,23,27,3
2,40000281,1,21,26,3
2,40000282,1,23,26,3
2,40000283,1,23,25,3
2,40000284,1,36,34,3
2,40000285,1,37,34,3
2,40000286,1,38,33,3
2,40000287,1,36,32,3
2,40000288,1,37,32,3
2,40000289,1,38,32,3
2,40000290,1,24,30,3
2,40000291,1,25,30,3
2,40000292,1,24,28,3
2,40000293,1,35,30,3
2,40000294,1,34,29,3
2,40000295,1,34,28,3
2,40000296,1,35,28,3
2,40000297,1,36,28,3
2,40000298,1,25,35,3
2,40000299,1,26,34,3
2,20000264,1,20,22,3
2,20000266,1,20,21,3
2,20000268,1,20,20,3
